Timestamp,Employer,Location,Job Title,Years at Employer,Years of Experience,Annual Base Pay,Signing Bonus,Annual Bonus,Annual Stock Value/Bonus,Gender,Additional Comments
3/21/2016 12:54:49,,"Raleigh, NC",Software Developer,,18,122000,,,,Male,
3/21/2016 12:58:52,Opower,"San Francisco, CA",Systems Engineer,2,13,125000,5000,0,5000 shares,Male,Don't work here.
3/21/2016 12:58:57,,San Diego CA,Systems engineer,1,1 of employment,"83,000",0,$50.00,0,Male,
3/21/2016 12:58:58,Walmart,"Bentonville, AR",Senior Developer,8,15,"65,000",,"5,000","3,000",Male,
3/21/2016 12:59:11,Vertical Knowledge,"Cleveland, OH",Software Engineer,1,4,86000,5000,6000,0,Male,
3/21/2016 12:59:30,,"Palo Alto, CA",Director of Product,,10,200000,,40000,250000,,
3/21/2016 13:00:17,NetApp,Waltham,MTS,0,4,105000,5000,8500,0,Male,
3/21/2016 13:00:20,,,,,,,,,,,
3/21/2016 13:01:19,,,zz,,,1,,,,,
3/21/2016 13:01:19,,"Copenhagen, Denmark",Software Developer,1,2,90500,0,0,0,Male,Finance
3/21/2016 13:02:01,,,Sr Operations Engineer,,,105000,,20000,,Male,
3/21/2016 13:02:04,,,asdf,,,80000,,,,,
3/21/2016 13:02:08,Apple,Cupertino,Software Engineer,3,4,110000,5000,7000,150000,Male,
3/21/2016 13:03:03,,"Austin, TX",DevOps Engineer,1,10,115000,,,,Male,
3/21/2016 13:03:06,Casino,Eastern Oregon,IT Technician,1.5,5,40000,0,500,0,Male,
3/21/2016 13:03:23,,,Software engineer,,,30000,,,,Male,
3/21/2016 13:03:35,Tetra Tech,"Madison, WI",Lead Interviewer,2.5,4,45000,0,1500,,Male,
3/21/2016 13:03:52,Knewton,New York City,Senior software engineer,2,8,135000,0,0,,Male,
3/21/2016 13:03:56,,"Milwaukee, WI",Software Engineer,1,10,135000,,7000,22000,Male,
3/21/2016 13:04:09,,Oklahoma,Software Engineer III,5,15,89000,,9000,,Male,
3/21/2016 13:04:16,,"Santa Clara, Ca",DevOps Engineer,1,20+,155000,,,,Male,
3/21/2016 13:04:22,Amplify,NYC,Software Engineer,1,2,105000,0,47000,0,Male,
3/21/2016 13:04:23,,"Seattle, WA",Software Engineer,1,9,95000,0,0,0,Male,
3/21/2016 13:04:25,Sqor,San Francisco ,Infrastructure/Platform Engineer,<1,<1,80000,0,0,500,Male,
3/21/2016 13:04:33,PENSCO Trust Company,"Denver, CO",Senior Software Engineer,1.5,10,120000,0,6000,0,Male,
3/21/2016 13:04:42,ThoughtWorks,Chicago,"Software Developer, Consultant",2,2,78000,0,0,0,Male,
3/21/2016 13:04:46,,SF,Mobile Engineer (iOS),<1,,135k,,,,Male,
3/21/2016 13:04:50,,Chicago,Software Engineer,0.5,2,75000,,,,Male,
3/21/2016 13:04:53,,"Los Angeles, CA",Lead Software Engineer,3,5,115000,0,0,,Male,
3/21/2016 13:05:09,,Remote (US),Infrastructure Engineer,3,12,110000,10000,10000,15000,Male,
3/21/2016 13:05:11,Purdue University,"West Lafayette, IN",Web Developer,1.5,2,"60,000",,,,Male,Discounted education for employees.
3/21/2016 13:05:12,,,CTO,,11,250000,,,,Male,
3/21/2016 13:05:16,,"Scottsdale, AZ",Senior Application Architect,10,12,150000,0,25000,0,Male,
3/21/2016 13:05:23,,,Senior Developer,4,6,"100,000",,"~10,000",,Male,
3/21/2016 13:05:33,Small B2B Company,Minneapolis,Analyst,1,4,63000,0,2000,0,Male,
3/21/2016 13:05:36,Small B2B Company,Minneapolis,Analyst,1,4,63000,0,2000,0,Male,
3/21/2016 13:05:51,SQLI,Bordeaux,IT Project Manager,3,8,38 210,0,0,0,Male,
3/21/2016 13:05:53,Slalom,Seattle,Senior Engineer,1,5,93000,0,15000,0,Male,
3/21/2016 13:06:10,,,Management Consultant,4,10,225000,100000,60000,,Male,
3/21/2016 13:06:23,Magento Commerce,"Charleston, SC",Member of Technical Staff,1,19,131000,,,80000,Male,Remote
3/21/2016 13:06:25,Oracle,"Bala Cynwyd, PA",Student Intern Co-op,0,0,$24/hr,$0,$0,$0,Male,
3/21/2016 13:06:44,,St. Louis,Software Development Lead,6,17,"108,000",0,1000,,Male,
3/21/2016 13:06:47,,,"Director, Product Management",,15,"170,000",,"20,000","30,000",Male,
3/21/2016 13:06:52,,"Upstate, NY",Developer,4,4,54000,0,0,0,Male,
3/21/2016 13:06:54,,"Pittsburgh, PA",Software Engineer,2,2,"67,000",,,,Male,
3/21/2016 13:06:54,Klick Inc.,"Toronto, Canada",Full Stack Developer,3,5,85000,0,5000,0,Male,
3/21/2016 13:06:57,small consulting shop,"Durham, NC",Developer,3.5,10,150000,,,,Male,
3/21/2016 13:06:58,Amazon,Seattle,SDE1,0,0,95000,20000,,30000,Male,this was in 2012 
3/21/2016 13:07:03,NBC Universal,New York,Senior Analyst,1.5,2,55000,0,0,0,Male,Dont go there
3/21/2016 13:07:10,,"Orlando, FL",Sr Software Engineer,2,5,80000,0,0,0,Male,
3/21/2016 13:07:22,30 person startup,San Francisco,Software Engineer,2,5,125000,0,0,0,Male,options were granted but have no real monetary value
